Device_Name,Vendor
360 Camera_selfdata,360
Allure Speaker_Mon(uk),Harman Kardon
Amazon Echo Gen1_Mon(uk),Amazon
Amazon Echo Gen1_Mon(us),Amazon
Amazon Echo Gen1_Our,Amazon
Amazon Echo Gen1_Our2,Amazon
Amazon Echo Gen1_UNSW,Amazon
Amazon Echo Gen1_YT,Amazon
Amazon Echo Gen2_Mon(uk),Amazon
Amazon Echo Gen2_Mon(us),Amazon
Amazon Echo Gen2_Our,Amazon
Amazon Echo Gen3_Mon(uk),Amazon
Amazon Echo Gen3_Mon(us),Amazon
Amazon Echo Look_Our,Amazon
Amazon Echo Look_Our2,Amazon
Amazon Echodot3a_IoTLS,Amazon
Amazon Fire TV_IoTLS,Amazon
Amazon Fire TV_Mon(uk),Amazon
Amazon Fire TV_Mon(us),Amazon
Amazon Fire TV_YT,Amazon
Amazon T-echodot_IoTLS,Amazon
Amcrest Camera_IoTLS,Amcrest
Amcrest Camera_Mon(us),Amcrest
Amcrest Camera_Our2,Amcrest
Apple home Pod_IoTLS,Apple
Apple Home Pod_YT,Apple
Apple TV(4thGen)_YT,Apple
Apple TV_IoTLS,Apple
Apple TV_Mon(uk),Apple
Apple TV_Mon(us),Apple
Aqara Camera_selfdata,Aqara
Aqara Hub_selfdata,Aqara
Aqara Light_selfdata,Aqara
Aqara Plug_selfdata,Aqara
Aria_IoT-Sentinel,Unknown
August Doorbell Camera_YT,August
Belkin Net Camera_YT,Belkin
Belkin WeMo Crock Pot_YT,Belkin
Belkin WeMo Link_YT,Belkin
Belkin WeMo Motion Sensor_UNSW,Belkin
Belkin WeMo Motion Sensor_YT,Belkin
Belkin Wemo switch_UNSW,Belkin
Belkin WeMo Switch_YT,Belkin
Blink Camera_Mon(uk),Blink
Blink Camera_Mon(us),Blink
Blink Hub_IoTLS,Blink
Blink Hub_Mon(uk),Blink
Blink Hub_Mon(us),Blink
Blipcare Blood Pressure Meter_UNSW,Blipcare
Bolian Hub_selfdata,Bolian
Bose Sound Touch10_YT,Bose
Bosiwo Camera Wired_Mon(uk),Bosiwo
Bull Plug_selfdata,Bull
Canary_YT,Canary
Caseta Wireless Hub_YT,Caseta
Chamberlain myq Garage Opener_YT,Chamberlain
Charger Camera_Mon(uk),Unknown
Chinese Web Camera_YT,Unknown
Cloud Camera_Mon(us),Unknown
Cubetoou Camera_selfdata,Cubetoou
Dalen Light_selfdata,Dalen
deebot_cleaner,deebot
D-Link Camera_IoT-Sentinel,D-Link
D-Link Day Camera_IoT-Sentinel,D-Link
D-Link DCS-5009L Camera_YT,D-Link
D-Link Door Sensor_IoT-Sentinel,D-Link
D-Link Home Hub_IoT-Sentinel,D-Link
Dlink Mov_IoTLS,D-Link
Dlink Mov_Mon(us),D-Link
D-Link Sensor_IoT-Sentinel,D-Link
D-Link Siren_IoT-Sentinel,D-Link
D-Link Switch_IoT-Sentinel,D-Link
D-Link Water Sensor_IoT-Sentinel,D-Link
Drop Camera_UNSW,Nest
duonisi_feeder,duonisi
Edimax Cam1_IoT-Sentinel,Edimax
Edimax Cam2_IoT-Sentinel,Edimax
Edimax Plug1101W_IoT-Sentinel,Edimax
Edimax Plug2101W_IoT-Sentinel,Edimax
Ednet Cam1_IoT-Sentinel,Ednet
