Layer,Target,Num_Devices,Device_List,Num_Vendors,Vendors,Is_Implicit,FlowUID_Count,FlowSet_Hash,Dedup_Group_ID,Dedup_Group_Size
IP,60.29.153.35,9,Konka Camera_selfdata|Lenovo Camera_selfdata|Pisen Camera_selfdata|Qiaoan Camera_selfdata|Shuixing Camera_selfdata|TP-Link Doorbell_selfdata|Tenda Camera_selfdata|Xiaobai Y2camera_selfdata|Yibang Camera_selfdata,9,konka|lenovo|pisen|qiaoan|shuixing|tenda|tp-link|xiaobai|yibang,TRUE,62,c248341ba01edba34ef302579d0426ae564d9067,SET_000142,1
IP,223.104.228.31,9,Lenovo Camera_selfdata|Pisen Camera_selfdata|Shuixing Camera_selfdata|TP-Link Doorbell_selfdata|Tenda Camera_selfdata|Xiaobai Camera_selfdata|Xiaopai Camera_selfdata|Xiaotun Camera_selfdata|Yingshi Camera_selfdata,9,lenovo|pisen|shuixing|tenda|tp-link|xiaobai|xiaopai|xiaotun|yingshi,TRUE,49,985014f4e6ec2dca95cb6637b66bf335370cf50b,SET_000153,1
IP,155.33.33.75,9,Amazon Fire TV_Mon(us)|Blink Camera_Mon(us)|LG Smart TV_Mon(us)|Magic Home Strip_Mon(us)|Nest Tstat_Mon(us)|Ring Doorbell_Mon(us)|Roku TV_Mon(us)|T-wemo Plug_Mon(us)|Wemo Plug_IoTLS,8,amazon|belkin|blink|home-assistant|lg|nest|ring|roku,TRUE,44,51630483fa331d37bc2572e069cdecde078b6abb,SET_000012,2
Infrastructure,nb9619.neu.edu,9,Amazon Fire TV_Mon(us)|Blink Camera_Mon(us)|LG Smart TV_Mon(us)|Magic Home Strip_Mon(us)|Nest Tstat_Mon(us)|Ring Doorbell_Mon(us)|Roku TV_Mon(us)|T-wemo Plug_Mon(us)|Wemo Plug_IoTLS,8,amazon|belkin|blink|home-assistant|lg|nest|ring|roku,TRUE,44,51630483fa331d37bc2572e069cdecde078b6abb,SET_000012,2
Service,vpc-sh-prod.mqtt.iotgds.aliyuncs.com.gds.alibabadns.com,7,Bull Plug_selfdata|Lenovo Camera_selfdata|Pisen Camera_selfdata|Tenda Camera_selfdata|Xiaobai Camera_selfdata|Xiaopai Camera_selfdata|deebot_cleaner,7,bull|deebot|lenovo|pisen|tenda|xiaobai|xiaopai,TRUE,28,8041b7bce8a2f964da49dde50d68d94de23eee10,SET_000572,1
IP,155.198.142.7,6,Blink Camera_Mon(uk)|Magic Home Strip_Mon(uk)|Nest Tstat_Mon(uk)|Ring Doorbell_Mon(uk)|Roku TV_Mon(uk)|T-wemo Plug_Mon(uk),6,belkin|blink|home-assistant|nest|ring|roku,TRUE,31,e9a09d4987e6db8eb8657cd84d74b740146e3254,SET_000014,2
Infrastructure,dns0.ic.ac.uk,6,Blink Camera_Mon(uk)|Magic Home Strip_Mon(uk)|Nest Tstat_Mon(uk)|Ring Doorbell_Mon(uk)|Roku TV_Mon(uk)|T-wemo Plug_Mon(uk),6,belkin|blink|home-assistant|nest|ring|roku,TRUE,31,e9a09d4987e6db8eb8657cd84d74b740146e3254,SET_000014,2
IP,172.217.0.142,7,Amazon Fire TV_YT|Google Home Mini_YT|Google Home_YT|Nest CamIQ_YT|Nest Guard_YT|Samsung Smart TV_YT|nVidia Shield_YT,5,amazon|google|nest|nvidia|samsung,TRUE,1261,2f3c1cd16f89020bb7cb32eaf2d00e82f3627dbe,SET_000001,1
IP,74.125.136.139,6,Amazon Fire TV_YT|Google Home Mini_YT|Google Home_YT|Nest CamIQ_YT|Samsung Smart TV_YT|nVidia Shield_YT,5,amazon|google|nest|nvidia|samsung,TRUE,303,cf249e131f62d9badde80b13869571c8081a34f4,SET_000006,1
Service,api-global.us-east-1.prodaa.netflix.com,9,Amazon Echo Gen2_Our|Amazon Fire TV_Mon(us)|LG Smart TV_Mon(us)|Roku TV_Mon(uk)|Roku TV_Mon(us)|Roku TV_YT|Roku4_YT|Samsung Smart TV_YT|nVidia Shield_YT,5,amazon|lg|nvidia|roku|samsung,TRUE,820,f5a3664c15688a65d3b9b555667783cd046acfcb,SET_000566,1
