Component_ID,Device_Count,Device_List,vendor_state,vendor_detail,device_type_state,device_type_detail,Device,device_vendor,device_type,Remote_IP,Remote_Port,Protocol,Domain_A,Domain_PTR,Remote_domain_best,Sequence_Up,Sequence_Down,Original_Index,Service_Orig,Infra_Orig,Service_Norm,Infra_Norm,Service_Evidence,Infra_Evidence,Is_Strict_Implicit,Consistent_Layers,Cluster_Val_IP,Cluster_Val_Service,Cluster_Val_Infra,Num_Flows,Num_Devices,Num_Vendors,
Comp_00873,4,"Aqara Camera_selfdata,Xiaobai Y2camera_selfdata,Xiaomi Camera_selfdata,xiaomitv_speaker",1,"2Xiaomi,1Aqara,1Xiaobai",1,"3Camera,1Speaker",Xiaomi Camera_selfdata,xiaomi,Camera,110.43.39.193,,UDP,xiaomi9.p2psy2.io.mi.com,,xiaomi9.p2psy2.io.mi.com,"[46.0, 90.0, 90.0, 90.0, 90.0, 130.0]","[54.0, 62.0, 54.0, 54.0, 54.0]",11626,xiaomi9.p2psy2.io.mi.com,,xiaomi9.p2psy2.io.mi.com,,xiaomi9.p2psy2.io.mi.com,,FALSE,,,,,4,4,3,生态系统
Comp_00873,4,"Aqara Camera_selfdata,Xiaobai Y2camera_selfdata,Xiaomi Camera_selfdata,xiaomitv_speaker",1,"2Xiaomi,1Aqara,1Xiaobai",1,"3Camera,1Speaker",Aqara Camera_selfdata,aqara,Camera,119.29.87.195,,UDP,camera-p2p-south.aqara.cn,camera-p2p-south.aqara.cn,camera-p2p-south.aqara.cn,"[46.0, 90.0, 90.0, 90.0, 90.0, 130.0]","[54.0, 62.0, 54.0, 54.0, 54.0]",21139,camera-p2p-south.aqara.cn,camera-p2p-south.aqara.cn,camera-p2p-south.aqara.cn,camera-p2p-south.aqara.cn,camera-p2p-south.aqara.cn,camera-p2p-south.aqara.cn,FALSE,,,,,4,4,3,生态系统
Comp_00873,4,"Aqara Camera_selfdata,Xiaobai Y2camera_selfdata,Xiaomi Camera_selfdata,xiaomitv_speaker",1,"2Xiaomi,1Aqara,1Xiaobai",1,"3Camera,1Speaker",Xiaobai Y2camera_selfdata,1,xiaobai,Camera,110.43.68.16,,UDP,,,,"[46.0, 90.0, 90.0, 90.0, 90.0, 130.0]","[54.0, 62.0, 54.0, 54.0, 54.0]",10710,,,,,,,FALSE,,,,,4,4,3
Comp_00873,4,"Aqara Camera_selfdata,Xiaobai Y2camera_selfdata,Xiaomi Camera_selfdata,xiaomitv_speaker",1,"2Xiaomi,1Aqara,1Xiaobai",1,"3Camera,1Speaker",xiaomitv_speaker,xiaomi,Speaker,42.157.165.161,,UDP,xiaomi10.p2psy2.mijia.tech,,xiaomi10.p2psy2.mijia.tech,"[46.0, 90.0, 90.0, 90.0, 90.0, 130.0]","[54.0, 62.0, 54.0, 54.0, 54.0]",36895,xiaomi10.p2psy2.mijia.tech,,xiaomi10.p2psy2.mijia.tech,,xiaomi10.p2psy2.mijia.tech,,FALSE,,,,,4,4,3,生态系统
Comp_00476,3,"Google Home Mini_YT,Google Home_YT,nVidia Shield_YT",1,"2Google,1nVidia",1,"2Speaker,1TV",nVidia Shield_YT,nvidia,TV,64.233.177.101,,TCP,clients.l.google.com,yx-in-f101.1e100.net,clients.l.google.com,"[74.0, 78.0, 74.0, 78.0, 74.0, 78.0, 66.0, 70.0, 66.0, 70.0, 66.0, 70.0]","[74.0, 78.0, 74.0, 78.0, 74.0, 78.0, 66.0]",6502,clients.l.google.com,yx-in-f101.1e100.net,clients.l.google.com,yx-in-f101.1e100.net,,,FALSE,,,,,3,3,2,战略合作
Comp_00476,3,"Google Home Mini_YT,Google Home_YT,nVidia Shield_YT",1,"2Google,1nVidia",1,"2Speaker,1TV",Google Home Mini_YT,google,Speaker,64.233.177.188,,TCP,mobile-gtalk.l.google.com,yx-in-f188.1e100.net,mobile-gtalk.l.google.com,"[74.0, 78.0, 74.0, 78.0, 66.0, 70.0, 66.0, 70.0, 66.0, 70.0]","[74.0, 78.0, 74.0, 78.0, 74.0, 78.0, 66.0]",28766,mobile-gtalk.l.google.com,yx-in-f188.1e100.net,mobile-gtalk.l.google.com,yx-in-f188.1e100.net,,,FALSE,,,,,3,3,2,战略合作
Comp_00476,3,"Google Home Mini_YT,Google Home_YT,nVidia Shield_YT",1,"2Google,1nVidia",1,"2Speaker,1TV",Google Home_YT,google,Speaker,173.194.219.113,,TCP,clients.l.google.com,ya-in-f113.1e100.net,clients.l.google.com,"[74.0, 78.0, 74.0, 78.0, 66.0, 70.0, 66.0, 70.0, 66.0, 70.0]","[74.0, 78.0, 74.0, 78.0, 74.0, 78.0, 66.0]",32136,clients.l.google.com,ya-in-f113.1e100.net,clients.l.google.com,ya-in-f113.1e100.net,,,FALSE,,,,,3,3,2,战略合作
Comp_00492,3,"Google Home Mini_YT,Google Home_YT,nVidia Shield_YT",1,"2Google,1nVidia",1,"2Speaker,1TV",nVidia Shield_YT,nvidia,TV,74.125.21.139,,TCP,clients.l.google.com,yv-in-f139.1e100.net,clients.l.google.com,"[74.0, 78.0, 66.0, 70.0, 66.0, 70.0]","[74.0, 78.0, 74.0, 78.0, 66.0]",6586,clients.l.google.com,yv-in-f139.1e100.net,clients.l.google.com,yv-in-f139.1e100.net,,,FALSE,,,,,3,3,2,战略合作
Comp_00492,3,"Google Home Mini_YT,Google Home_YT,nVidia Shield_YT",1,"2Google,1nVidia",1,"2Speaker,1TV",Google Home Mini_YT,google,Speaker,173.194.219.101,,TCP,clients.l.google.com,ya-in-f101.1e100.net,clients.l.google.com,"[74.0, 78.0, 66.0, 70.0, 66.0, 70.0, 66.0, 70.0]","[74.0, 78.0, 74.0, 78.0, 66.0]",28775,clients.l.google.com,ya-in-f101.1e100.net,clients.l.google.com,ya-in-f101.1e100.net,,,FALSE,,,,,3,3,2,战略合作
Comp_00492,3,"Google Home Mini_YT,Google Home_YT,nVidia Shield_YT",1,"2Google,1nVidia",1,"2Speaker,1TV",Google Home_YT,google,Speaker,216.58.195.142,,TCP,clients.l.google.com,iad23s24-in-f142.1e100.net,clients.l.google.com,"[74.0, 78.0, 66.0, 70.0, 66.0, 70.0]","[74.0, 78.0, 74.0, 78.0, 66.0]",32143,clients.l.google.com,iad23s24-in-f142.1e100.net,clients.l.google.com,iad23s24-in-f142.1e100.net,,,FALSE,,,,,3,3,2,战略合作
Comp_05989,3,"Amazon Echo Gen2_Our,LG Smart TV_Our,LG Smart TV_Our2",1,"2LG,1Amazon",1,"2TV,1Speaker",Amazon Echo Gen2_Our,amazon,Speaker,52.10.65.197,,TCP,,ec2-52-10-65-197.us-west-2.compute.amazonaws.com,ec2-52-10-65-197.us-west-2.compute.amazonaws.com,"[74.0, 66.0, 583.0, 66.0, 384.0, 1186.0]","[74.0, 66.0, 1161.0, 117.0, 346.0, 97.0, 66.0]",17963,,ec2-52-10-65-197.us-west-2.compute.amazonaws.com,,ec2-52-10-65-197.us-west-2.compute.amazonaws.com,,,FALSE,,,,,3,3,2,战略合作
Comp_05989,3,"Amazon Echo Gen2_Our,LG Smart TV_Our,LG Smart TV_Our2",1,"2LG,1Amazon",1,"2TV,1Speaker",LG Smart TV_Our,lg,TV,52.42.194.252,,TCP,,ec2-52-42-194-252.us-west-2.compute.amazonaws.com,ec2-52-42-194-252.us-west-2.compute.amazonaws.com,"[74.0, 66.0, 583.0, 66.0, 384.0, 1186.0]","[74.0, 66.0, 1161.0, 117.0, 346.0, 97.0, 66.0]",36097,,ec2-52-42-194-252.us-west-2.compute.amazonaws.com,,ec2-52-42-194-252.us-west-2.compute.amazonaws.com,,,FALSE,,,,,3,3,2,战略合作
